Titel;ID;name;subgroup;type;group
;Philip Stein;Philip Stein;Ein Prozent e.V, Identitäre Bewegung;Aktivist;IB
;Vincenzo Richter;Vincenzo Richter;Identitäre Bewegung;Aktivist;IB
;Jürgen Pohl;Jürgen Pohl;AfD Bundestags Fraktion;Politiker;AFD_Politiker
;Hannes Gnauck;Hannes Gnauck;AfD Bundestags Fraktion, Junge Alternative;;AFD_Politiker
;Raymond Burke;Raymond Burke;Vatikan;Geistlicher;VA
;Michael Lindner;Michael Lindner;Betriebsrat Daimler Benz Sindelfingen, Zentrum Automobil;Aktivist;ZA
;Michael Stecher;Michael Stecher;Zentrum Automobil;Aktivist;ZA
;Christiane Schmauder;Christiane Schmauder;Zentrum Automobil;Aktivist;ZA
;Timm Kaufmann;Timm Kaufmann;Filmkunstkollektiv, Identitäre Bewegung;Aktivist;IB
;Annie Hunecke;Annie Hunecke;Filmkunstkollektiv, Identitäre Bewegung;Aktivist;IB
;Paul Klemm;Paul Klemm;Compact, Filmkunstkollektiv, Identitäre Bewegung;Aktivist;IB
;Matteo Salvini;Matteo Salvini;Lega Nord;Politiker;IT
;Kellyanne Conway;Kellyanne Conway;Republikaner;Jurist;USA
;Ted Cruz;Ted Cruz;Republikaner;Politiker;USA
;Stephen K. Bannon;Stephen K. Bannon;Einzelperson;Publizist;PP
;Richard Williamson;Richard Williamson;Gesellschaft St. Pius X;Geistlicher;VA
;Manuel Wurm;Manuel Wurm;AfD Hessen Partei, Junge Alternative;Politiker;AFD_Politiker
;Hans-Thomas Tillschneider;Hans-Thomas Tillschneider;AFD Sachsen-Anhalt Partei, AfD Sachsen-Anhalt Fraktion, Ein Prozent e.V;Politiker;AFD_Politiker
;Karl Albrecht Schachtschneider;Karl Albrecht Schachtschneider;Desiderius-Erasmus-Stiftung, Ein Prozent e.V, Identitäre Bewegung;Aktivist;IB
;Wiebke Nahrath;Wiebke Nahrath;Identitäre Bewegung;Ehefrau;IB
;Wolfram Nahrath;Wolfram Nahrath;Heimattreue Deutsche Jugend, NPD, Wiking-Jugend;Rechtsanwalt;NPD
;Thassilo Hantusch;Thassilo Hantusch;NPD;Politiker;NPD
;Andreas Kalbitz;Andreas Kalbitz;Heimattreue Deutsche Jugend, Identitäre Bewegung, Parteilos;Politiker;IB
