Verbindung;from;to;connection;weight;source
Martin Sellner;Kristin Brinker;Sommerfest auf der Terrasse;1;https://archive.is/20240125130452/https://www.spiegel.de/politik/deutschland/peter-kurth-geheimes-vernetzungstreffen-diese-rechtsextremen-waren-auf-der-party-des-ex-cdu-senators-a-392e71d3-fd60-42d6-9d62-a8a923dfae5c
Martin Sellner;Benedikt Kaiser;Sommerfest auf der Terrasse;1;https://archive.is/20240125130452/https://www.spiegel.de/politik/deutschland/peter-kurth-geheimes-vernetzungstreffen-diese-rechtsextremen-waren-auf-der-party-des-ex-cdu-senators-a-392e71d3-fd60-42d6-9d62-a8a923dfae5c
Martin Sellner;Maximilian Krah;Sommerfest auf der Terrasse;1;https://archive.is/20240125130452/https://www.spiegel.de/politik/deutschland/peter-kurth-geheimes-vernetzungstreffen-diese-rechtsextremen-waren-auf-der-party-des-ex-cdu-senators-a-392e71d3-fd60-42d6-9d62-a8a923dfae5c
Martin Sellner;Götz Kubitschek;Sommerfest auf der Terrasse;1;https://archive.is/20240125130452/https://www.spiegel.de/politik/deutschland/peter-kurth-geheimes-vernetzungstreffen-diese-rechtsextremen-waren-auf-der-party-des-ex-cdu-senators-a-392e71d3-fd60-42d6-9d62-a8a923dfae5c
Martin Sellner;Ulrich Vosgerau;Gasthof Adlon Correctiv;2;https://correctiv.org/aktuelles/neue-rechte/2024/01/10/geheimplan-remigration-vertreibung-afd-rechtsextreme-november-treffen/
Martin Sellner;Michaela Schneider;Gasthof Adlon Correctiv;2;https://correctiv.org/aktuelles/neue-rechte/2024/01/10/geheimplan-remigration-vertreibung-afd-rechtsextreme-november-treffen/
Martin Sellner;Mathilda Huss;Gasthof Adlon Correctiv, Sommerfest auf der Terrasse;2;https://correctiv.org/aktuelles/neue-rechte/2024/01/10/geheimplan-remigration-vertreibung-afd-rechtsextreme-november-treffen/
Martin Sellner;Wilhelm Wilderink;Gasthof Adlon Correctiv;2;https://correctiv.org/aktuelles/neue-rechte/2024/01/10/geheimplan-remigration-vertreibung-afd-rechtsextreme-november-treffen/
Martin Sellner;Mario Müller;Gasthof Adlon Correctiv;2;https://correctiv.org/aktuelles/neue-rechte/2024/01/10/geheimplan-remigration-vertreibung-afd-rechtsextreme-november-treffen/
Martin Sellner;Simone Baum;Gasthof Adlon Correctiv;2;https://correctiv.org/aktuelles/neue-rechte/2024/01/10/geheimplan-remigration-vertreibung-afd-rechtsextreme-november-treffen/
Alice Weidel;Tino Chrupalla;AfD Bundestag;3;
Alice Weidel;Petr Bystron;AfD Bundestag;3;
Alice Weidel;Gerrit Huy;AfD Bundestag;3;
Alice Weidel;Roland Hartwig;AfD Bundestag;3;https://www.volksverpetzer.de/analyse/chronologie-afd-und-identitaeren/
